Age,Income,Children,Tenure,Outage_sec_perweek,Techie,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Gender_Male,Gender_Nonbinary,Marital_Married,Marital_NeverMarried,Marital_Separated,Marital_Widowed
68,28561.99,0,6.795512947,7.978322947,0,1,1,1,0,1,1,0,0,0,1,4,4,4,6,5,5,6,5,1,0,0,0,0,1
27,21704.77,1,1.156680997,11.69907956,1,0,1,1,1,1,0,0,0,1,1,6,5,6,6,5,6,5,5,0,0,1,0,0,0
50,9609.57,4,15.75414408,10.75280028,1,1,0,1,1,0,0,0,0,0,1,5,5,7,5,5,6,6,6,0,0,0,0,0,1
48,18925.23,1,17.08722662,14.91353964,1,0,0,1,0,1,0,0,0,1,0,5,5,5,7,4,5,6,6,1,0,1,0,0,0
83,40074.19,0,1.670971726,8.147416533,0,1,0,0,0,0,0,0,1,1,0,5,5,5,6,5,5,5,4,1,0,0,0,1,0
83,22660.2,3,7.000993555,8.420992898,0,1,0,1,1,1,1,1,0,0,1,6,6,6,7,5,6,6,6,0,0,0,1,0,0
79,11467.5,0,13.23677381,11.18272453,1,0,0,1,0,0,0,0,1,1,1,3,4,3,5,8,4,4,4,1,0,0,0,0,1
30,26759.64,2,4.26425515,7.791632265,1,0,0,0,0,0,1,0,0,0,0,7,7,7,4,7,6,5,4,0,0,1,0,0,0
49,58634.51,2,8.220686373,5.739005915,0,1,0,1,0,1,1,0,0,0,0,4,5,5,6,5,6,5,5,0,1,0,0,1,0
86,50231.4,1,3.422086139,8.707823904,0,1,0,1,0,1,0,1,0,0,1,7,7,7,7,4,7,6,6,0,0,1,0,0,0
23,22580.7,7,19.26726194,9.341631685,0,0,0,1,1,1,1,0,0,1,0,5,5,5,2,6,6,6,5,0,0,0,0,1,0
56,18342.12,2,10.52199781,6.68082638,0,1,0,1,0,0,0,1,0,1,0,5,5,6,5,5,5,6,5,0,0,1,0,0,0
83,83671.08,0,13.01149229,8.273875452,0,1,0,1,0,0,0,0,0,1,0,8,7,8,5,6,7,6,6,1,0,0,0,0,0
29,115114.57,5,16.87922024,5.880565591,0,1,1,1,1,1,0,0,1,1,0,4,3,4,7,5,4,5,5,0,0,0,0,1,0
30,64256.81,1,10.06019902,11.79073041,0,0,0,0,1,0,1,0,1,0,0,6,6,5,7,6,5,5,7,1,0,0,0,1,0
39,89061.45,3,13.87001293,10.79846973,0,0,0,1,0,1,0,0,0,1,1,6,6,6,7,5,6,4,7,1,0,0,0,0,0
63,31659.3,0,15.78214958,13.52284721,0,1,0,1,1,0,1,1,0,0,1,6,5,5,6,4,5,5,6,0,0,1,0,0,0
60,44142.81,2,2.303331273,9.831166695,0,0,0,1,0,1,0,1,1,1,1,7,7,5,6,6,5,6,6,1,0,0,0,1,0
61,39262.14,3,17.10995632,9.57470568,1,1,0,1,0,0,1,1,1,1,0,6,5,6,5,6,7,6,4,0,0,0,0,0,1
23,19494.75,3,12.80615845,10.92246098,0,1,0,1,1,0,0,0,0,1,0,4,4,4,5,5,5,6,6,1,0,0,0,0,0
38,39624.21,4,20.45390977,12.06889188,0,0,0,1,0,1,1,1,0,0,1,7,6,6,7,5,7,6,6,1,0,0,1,0,0
30,45714.47,3,2.415991977,6.984819996,0,0,1,1,0,1,0,1,0,0,0,4,4,5,5,6,5,6,4,1,0,0,0,0,0
52,27442.03,3,6.652298992,9.372975594,0,0,0,1,0,0,0,0,1,0,0,6,6,6,7,7,6,4,4,1,0,0,0,0,1
68,79699.62,2,8.543717478,7.109002592,0,1,0,1,0,0,0,0,1,1,0,5,5,6,4,6,5,5,6,1,0,0,0,0,0
75,28520.32,3,5.770390256,13.74777955,0,0,1,1,1,1,0,1,0,0,1,6,6,5,7,5,5,6,5,0,0,0,0,0,1
77,12558.83,1,4.157658837,9.767668044,0,0,1,1,0,0,0,0,0,0,0,5,5,5,5,7,5,4,4,1,0,0,0,1,0
47,8762.23,1,10.40566091,15.8626095,0,1,0,1,0,1,0,1,0,1,1,4,6,4,6,6,4,5,5,0,0,1,0,0,0
70,43882.72,0,1.392421597,14.73616645,0,1,0,1,0,0,1,1,0,1,0,7,7,6,5,5,7,7,7,0,0,0,0,0,1
20,10482.52,3,1.430386349,13.43558029,1,0,0,1,0,0,0,1,0,1,1,6,5,6,6,7,5,5,7,0,0,0,0,1,0
69,33442.79,4,5.425864884,10.61771118,0,0,1,1,1,1,1,1,0,1,1,5,5,5,6,7,4,4,5,1,0,0,1,0,0
